Identifier,District,Municipality/Union,Ward Number,Latitude,Longitude,Name of Household,"What is the total number of household members, including yourself?",Water Service Level,Main source of drinking water,Main source of water for other purposes,Specific Location of Water Collection,Time to Collect Water,Times in Last Month When Drinking Water Quantity Was Insufficient,Fecal and Chemical Levels Acceptable,Sanitation Service Level,Type of Toilet Facility,Facility is shared with others outside of the household,Location of sanitation facility,Emptying of on-site sanitation facilities,Disposal of excreta from onite sanitation facilities,Hygiene Service Ladder,Type of Handwashing Facility Used Most Often,Water Available at Handwashing Facility,Soap Available
bqpe-gtcx-uee8,Barguna,Paurashava,2,22.15171386,90.13127181,,5,Basic,Deep tubewell/borehole,,In own dwelling,,Sufficient,Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
ufe1-f9ns-yuef,Barguna,Paurashava,6,22.15191378,90.13150069,,5,Safely Managed,Deep tubewell/borehole,,In own yard / plot,,Sufficient,Not Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Yes,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
gnhp-vptk-kdja,Barguna,Patharghata Municipality,5,22.15176763,90.13144487,,5,Basic,Shallow tubewell/borehole,,In own dwelling,,Not Sufficient,Contaminated,Unimproved,Toilet that flush/pour to elsewhere,Yes,In own dwelling,,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
wt5j-rtrh-jd06,Barguna,Barguna Union,8,22.1515267,90.13080654,,7,Safely Managed,Public tap/standpipe,,In own dwelling,,Sufficient,Not Contaminated,Limited,Pit latrine with slab,Yes,In own plot/yard,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
jd18-6sb7-89dy,Barguna,Patharghata Municipality,1,22.15187187,90.13090606,,4,Basic,Pond sand filter (PSF),,,,Not Sufficient,Contaminated,Limited,Toilet that flush/pour to septic tank,Yes,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
009y-cp0k-gu0t,Barguna,Paurashava,2,22.83232406,89.53231182,,6,Basic,Public tap/standpipe,,In own dwelling,,Sufficient,Contaminated,Open Defecation,Open Defecation,,,,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
nmk3-ht5q-dtxx,Barguna,Paurashava,9,22.83207281,89.53187904,,4,Safely Managed,Public tap/standpipe,,In own dwelling,,Sufficient,Not Contaminated,Safely Managed,Toilet that flush/pour to septic tank,No,In own dwelling,Yes,,Basic,Fixed facility observed in dwelling,Water is available,Soap Available
qs3k-saj9-9v5e,Barguna,Patharghata Municipality,1,22.01159755,89.94039855,,5,Basic,Pond sand filter (PSF),,,,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,,,,,Basic,No permission to see,,
b2pd-04jf-qjed,Barguna,Patharghata Municipality,1,22.01190578,89.94031887,,5,Basic,Rainwater collection,,In own yard / plot,,Sufficient,Contaminated,Basic,Toilet that flush/pour to septic tank,No,In own dwelling,Don't Know,,Basic,Fixed facility observed in plot/yard,Water is available,Soap Available
mknv-kp57-5twh,Barguna,Patharghata Municipality,1,22.04085546,89.97021605,,4,Basic,Pond sand filter (PSF),,,,Sufficient,Contaminated,Unimproved,Pit latrine without slab/open pit,,,,,Basic,No permission to see,,
