Identifier,District,Municipality/Union,Ward Number,Village,Name_of_Health_facility,Latitude,Longitude,Health Facility Level,Type of Health Facility,Average Number of Patients Per Day,Water Service Level,Main Water Supply for the Facility,Distance of Main Water Supply from Facility,Water is available at the Time of Survey,Sanitation Service Level,Is there an improved toilet with permanent superstructure (Wall constructed of Bricks with concrete floor slab and Galvanised iron sheet roofing).,Type of Toilet for Patients,At least one toilet is usable,Toilets dedicated for staff,Toilets are in sex-separated or gender-neutral rooms,Toilets have menstrual hygiene facilites,Toilets accessible for people with limited mobility,Hygiene Service Level,Functional Hand Hygiene Facility at Points of Care,Functional handwashing facility at one or more toilets,Health Care Waste Service Level,Waste is Correctly Segregated into at Least Three Labelled Bins in the Consultation Area,Main method for Disposing Infectious Waste,Main method used for disposing Sharps Waste,Environmental Cleaning Service Level,Cleaning protocols are available,All Staff Responsible for Cleaning Received Training
kbt8-1xbp-pq52,Satkhira,Kalaroa Municipality,2,,,22.70781107,89.04489582,,Upazila health complex,,Basic,Piped water to yard/plot,On the premises of the health centre,,Limited,,Toilet that flush/poor flush to septic tank,Yes,Yes,Yes,No,No,Basic,Yes,Yes,Basic,Yes,Bury,Burn,Basic,Yes,Yes
mugn-mvkk-ty5p,Barguna,Paurashava,6,,,22.13027598849864,90.23078343588945,,Upazila health complex,,Basic,Deep tubewell/borehole,On the premises of the health centre,,Limited,,Toilet that flush/poor flush to septic tank,Yes,Yes,Yes,No,No,Limited,No,Yes,Basic,Yes,Bury,Burn,Basic,No,Yes
meu3-9519-5ypg,Barguna,Patharghata Municipality,4,,,22.032611531133238,89.9662104698829,,Upazila health complex,,Basic,Piped water into dwelling (into the building),On the premises of the health centre,,Limited,,Toilet that flush/poor flush to septic tank,Yes,Yes,Yes,No,No,Basic,Yes,Yes,Basic,Yes,Bury,Burn,No Service,Yes,No
ujcn-pht3-8ag2,Barguna,Barguna Municipality,3,,,22.14669377077371,90.12164848856628,,Upazila health complex,,Limited,Deep tubewell/borehole,On the premises of the health centre,,Limited,,Toilet that flush/poor flush to septic tank,Yes,Yes,Yes,No,No,Limited,No,Yes,Basic,Yes,,,Basic,Yes,Yes
3the-w1p3-f4mh,Barguna,Barguna Municipality,7,,,22.156554493121803,90.12779032811522,,Big/Private hospital,,Basic,Deep tubewell/borehole,On the premises of the health centre,,Limited,,Toilet that flush/poor flush to septic tank,Yes,Yes,Yes,No,No,Limited,No,Yes,Basic,Yes,Bury,,No Service,No,No
rc5h-02k4-f9fk,Barguna,Gourichanna Union,7,,,22.164839168135906,90.12099777467914,,Union health complex,,Basic,Deep tubewell/borehole,Less than 150 meters/500 feet,,Limited,,Twinpit offset latrine,Yes,Yes,Yes,Yes,No,Basic,Yes,Yes,Limited,Yes,Garbage Tractor,Incinerator,Basic,Yes,Yes
5r6v-cn3j-myum,Barguna,Fuljhuri Union,6,,,22.211281325634985,90.1376389049388,,Union health complex,,Basic,Deep tubewell/borehole,On the premises of the health centre,,Limited,,Twinpit offset latrine,Yes,Yes,Yes,No,No,Basic,Yes,Yes,Basic,No,Bury,Bury,No Service,Yes,No
dskh-yj0d-uy76,Barguna,Patharghata Municipality,4,,,22.044098947288653,89.97010180933368,,Big/Private hospital,,Basic,PSF (pond sand filter),On the premises of the health centre,,Limited,,Toilet that flush/poor flush to septic tank,Yes,Yes,Yes,Yes,No,Basic,Yes,Yes,Basic,Yes,Garbage Tractor,Garbage Tractor,No Service,No,No
nk1d-528j-yb5e,Barguna,Barguna Municipality,7,,,22.158572394400835,90.11445513926446,,Private Clinic,,Basic,Piped water into dwelling (into the building),On the premises of the health centre,,Limited,,Toilet that flush/poor flush to septic tank,Yes,Yes,Yes,No,No,Limited,No,Yes,Limited,Yes,Incinerator,,No Service,No,No
3dgh-yub3-m10g,Satkhira,Kalaroa Municipality,9,,,22.859828304178116,89.03656588806504,,Upazila health complex,,Basic,AIRP (arsenic iron removable plant),On the premises of the health centre,,Limited,,Toilet that flush/poor flush to septic tank,Yes,Yes,Yes,No,No,Basic,Yes,Yes,Basic,Yes,Bury,Bury,Basic,Yes,Yes
